# Total Jobs Found: 363, Scrape Date: 2026-01-07 13:23:03
title,company,location,posted_date,link,source
**** ******** – ** **********,********,"******/ ***** *********, ***** ******, *****",2025-11-25,https://ke.linkedin.com/jobs/view/data-engineer-%E2%80%93-ai-compliance-at-allcares-4339135084?position=5&pageNum=0&refId=Iet6nRnyFHHO3zHXPFNa8Q%3D%3D&trackingId=6FPma8A7%2BrsVTsT2Hf3dWg%3D%3D,LinkedIn
**** ********,****,"******* ******, *****",2025-11-11,https://ke.linkedin.com/jobs/view/data-engineer-at-obss-4313365587?position=6&pageNum=0&refId=Iet6nRnyFHHO3zHXPFNa8Q%3D%3D&trackingId=U8KbUfp2GCm1yPgtzwm2eQ%3D%3D,LinkedIn
**** *******,******** **********,*****,2025-11-15,https://ke.linkedin.com/jobs/view/data-analyst-at-odixcity-consulting-4336075512?position=7&pageNum=0&refId=Iet6nRnyFHHO3zHXPFNa8Q%3D%3D&trackingId=vTn%2B%2FyEKcDMHXlCioXbflA%3D%3D,LinkedIn
Human Data Manager,Burjline Builders,Kenya,2026-01-06,https://ke.linkedin.com/jobs/view/human-data-manager-at-burjline-builders-4330466083?position=1&pageNum=0&refId=rj3XrXz2XuCZyI9H5UM6Aw%3D%3D&trackingId=k5x1LG77Kek3hGvc%2BOMUAw%3D%3D,LinkedIn
Human Data Manager - FreshTalent,Qureos,Kenya,2026-01-06,https://ke.linkedin.com/jobs/view/human-data-manager-freshtalent-at-qureos-4351350403?position=2&pageNum=0&refId=rj3XrXz2XuCZyI9H5UM6Aw%3D%3D&trackingId=VG8iKEe6aPkK8b07Am7W2A%3D%3D,LinkedIn
Senior Data Analyst,Watu Credit,"Nairobi, Nairobi County, Kenya",2025-11-28,https://ke.linkedin.com/jobs/view/senior-data-analyst-at-watu-credit-4339811567?position=3&pageNum=0&refId=rj3XrXz2XuCZyI9H5UM6Aw%3D%3D&trackingId=5HXfBuW8L076m583ttAm1g%3D%3D,LinkedIn
**** ************ *******,******,"*******, ***** ***** ******, *****",2025-10-22,https://ke.linkedin.com/jobs/view/data-intelligence-analyst-at-assent-4314707167?position=4&pageNum=0&refId=rj3XrXz2XuCZyI9H5UM6Aw%3D%3D&trackingId=tOOg%2BrEfS4xkkseHwHgvXg%3D%3D,LinkedIn
"*******, **** ******",* ****** ** ***** ****** *** ****** *** Ú****** ****,"*******, ******* ******, *****",2026-01-05,https://ke.linkedin.com/jobs/view/analyst-real-estate-at-a-igreja-de-jesus-cristo-dos-santos-dos-%C3%BAltimos-dias-4354612932?position=5&pageNum=0&refId=rj3XrXz2XuCZyI9H5UM6Aw%3D%3D&trackingId=JyGPL94o1hF66JtI1MpLRA%3D%3D,LinkedIn
****** **** ******* & ********* *******,***** ************,*****,2025-11-17,https://ke.linkedin.com/jobs/view/global-data-science-analytics-manager-at-pages-humanitaires-4322797107?position=6&pageNum=0&refId=rj3XrXz2XuCZyI9H5UM6Aw%3D%3D&trackingId=tQjneNo%2F9kL16Ok6hj8dNg%3D%3D,LinkedIn
********* ******* ****,******* *********,"******/ ***** *********, ***** ******, *****",2026-01-07,https://ke.linkedin.com/jobs/view/marketing-systems-lead-at-crimson-education-4330721255?position=7&pageNum=0&refId=rj3XrXz2XuCZyI9H5UM6Aw%3D%3D&trackingId=FxfrYa7mkH5XP9XbE3xvUw%3D%3D,LinkedIn
Head of Analytics,Yassir,"Nairobi, Nairobi County, Kenya",2025-09-30,https://ke.linkedin.com/jobs/view/head-of-analytics-at-yassir-4308495688?position=1&pageNum=0&refId=PNVE4iGQlEZYu5uvNceoVg%3D%3D&trackingId=cyVCEWCY3R9TsiYO2Ct8Ng%3D%3D,LinkedIn
Head of Convergent Video & Audio,Camelot Strategic Marketing & Media,"Nzalae/ Nzawa locations, Kitui County, Kenya",2025-12-05,https://ke.linkedin.com/jobs/view/head-of-convergent-video-audio-at-camelot-strategic-marketing-media-4348731833?position=2&pageNum=0&refId=PNVE4iGQlEZYu5uvNceoVg%3D%3D&trackingId=7PQjftnYLCY%2F%2BcGqk5ULcA%3D%3D,LinkedIn
Head of Project Delivery,NATURAL STATE,Kenya,2025-12-03,https://ke.linkedin.com/jobs/view/head-of-project-delivery-at-natural-state-4347495489?position=3&pageNum=0&refId=PNVE4iGQlEZYu5uvNceoVg%3D%3D&trackingId=SV0Y5%2B%2F84X0YhjMctRm61Q%3D%3D,LinkedIn
**** ** ********** ******,*****,*****,2025-12-18,https://ke.linkedin.com/jobs/view/head-of-commercial-growth-at-axmed-4344910475?position=4&pageNum=0&refId=PNVE4iGQlEZYu5uvNceoVg%3D%3D&trackingId=fmXSvzdo%2FKei1AirOF5qdw%3D%3D,LinkedIn
**** ** *********** **********,*****,*****,2025-12-10,https://ke.linkedin.com/jobs/view/head-of-marketplace-operations-at-axmed-4343261366?position=5&pageNum=0&refId=PNVE4iGQlEZYu5uvNceoVg%3D%3D&trackingId=%2Fm1uQy8zHVQbHvxojjzB3Q%3D%3D,LinkedIn
"********, ****** *******",*********,"*******, ******* ******, *****",2025-11-27,https://ke.linkedin.com/jobs/view/director-talent-science-at-canonical-4339203259?position=6&pageNum=0&refId=PNVE4iGQlEZYu5uvNceoVg%3D%3D&trackingId=%2BIrMpQdT%2BmJIQwRYuyarwQ%3D%3D,LinkedIn
**** ****** ******* – ******,****** ****** * ********,"*******, ******* ******, *****",2025-12-10,https://ke.linkedin.com/jobs/view/real-estate-advisor-%E2%80%93-jabali-at-cleave-global-e-services-4326740264?position=7&pageNum=0&refId=PNVE4iGQlEZYu5uvNceoVg%3D%3D&trackingId=2H%2B%2FBu9OIGohmdR8U%2BCzqA%3D%3D,LinkedIn
Data Intelligence Analyst,Assent,"Eldoret, Uasin Gishu County, Kenya",2025-10-22,https://ke.linkedin.com/jobs/view/data-intelligence-analyst-at-assent-4314707167?position=1&pageNum=0&refId=3xKhQLE10RTXAc3X6Y0Jqg%3D%3D&trackingId=gnzj8dLbQDL8GXkxWkSk2A%3D%3D,LinkedIn
Senior Data Analyst,Watu Credit,"Nairobi, Nairobi County, Kenya",2025-11-28,https://ke.linkedin.com/jobs/view/senior-data-analyst-at-watu-credit-4339811567?position=2&pageNum=0&refId=3xKhQLE10RTXAc3X6Y0Jqg%3D%3D&trackingId=lt2eVIBCefM1CstMVY4SzA%3D%3D,LinkedIn
Request for Proposals: Senior Business Intelligence Expert,Moringa School,"Nairobi County, Kenya",2026-01-05,https://ke.linkedin.com/jobs/view/request-for-proposals-senior-business-intelligence-expert-at-moringa-school-4351303801?position=3&pageNum=0&refId=3xKhQLE10RTXAc3X6Y0Jqg%3D%3D&trackingId=8voxCD0jNSISUnyzk78R8w%3D%3D,LinkedIn
"********** ** ******* (*******, *****)",****,"*******, ******* ******, *****",2025-10-28,https://ke.linkedin.com/jobs/view/operations-bi-analyst-nairobi-kenya-at-eidu-4318497144?position=4&pageNum=0&refId=3xKhQLE10RTXAc3X6Y0Jqg%3D%3D&trackingId=9m9TW%2FxfHgY9D5goSHLN%2FQ%3D%3D,LinkedIn
** *******,**********,"*******, ******* ******, *****",2025-11-06,https://ke.linkedin.com/jobs/view/bi-analyst-at-sunculture-4334489257?position=5&pageNum=0&refId=3xKhQLE10RTXAc3X6Y0Jqg%3D%3D&trackingId=9i%2FMN1fJc%2BewO9LlZj2ybw%3D%3D,LinkedIn
**** *******,******** *****,"******/ ***** *********, ***** ******, *****",2025-11-04,https://ke.linkedin.com/jobs/view/data-analyst-at-endeavor-kenya-4320605248?position=6&pageNum=0&refId=3xKhQLE10RTXAc3X6Y0Jqg%3D%3D&trackingId=rPFsm10Hdofp0%2BfeBtu%2BOg%3D%3D,LinkedIn
**** *******,******** **********,*****,2025-11-15,https://ke.linkedin.com/jobs/view/data-analyst-at-odixcity-consulting-4336075512?position=7&pageNum=0&refId=3xKhQLE10RTXAc3X6Y0Jqg%3D%3D&trackingId=1lZDQQKHyqFP%2B3MutHdZVg%3D%3D,LinkedIn
Senior Data Analyst,Watu Credit,"Nairobi, Nairobi County, Kenya",2025-11-28,https://ke.linkedin.com/jobs/view/senior-data-analyst-at-watu-credit-4339811567?position=1&pageNum=0&refId=VymQsShSbsIvRQH30Vmo7Q%3D%3D&trackingId=bXpvHo16UggkIva8kGAEsQ%3D%3D,LinkedIn
Data Intelligence Analyst,Assent,"Eldoret, Uasin Gishu County, Kenya",2025-10-22,https://ke.linkedin.com/jobs/view/data-intelligence-analyst-at-assent-4314707167?position=2&pageNum=0&refId=VymQsShSbsIvRQH30Vmo7Q%3D%3D&trackingId=lpHR%2FDktvvw9p%2BbAZwNHjQ%3D%3D,LinkedIn
BI Analyst,SunCulture,"Nairobi, Nairobi County, Kenya",2025-11-06,https://ke.linkedin.com/jobs/view/bi-analyst-at-sunculture-4334489257?position=3&pageNum=0&refId=VymQsShSbsIvRQH30Vmo7Q%3D%3D&trackingId=hJ1z%2Ffmzjoplm8ky1Gltdw%3D%3D,LinkedIn
**** *******,******** **********,*****,2025-11-15,https://ke.linkedin.com/jobs/view/data-analyst-at-odixcity-consulting-4336075512?position=4&pageNum=0&refId=VymQsShSbsIvRQH30Vmo7Q%3D%3D&trackingId=PAf4HBOENlOD79yX94Sb8Q%3D%3D,LinkedIn
**** *******,******** *****,"******/ ***** *********, ***** ******, *****",2025-11-04,https://ke.linkedin.com/jobs/view/data-analyst-at-endeavor-kenya-4320605248?position=5&pageNum=0&refId=VymQsShSbsIvRQH30Vmo7Q%3D%3D&trackingId=tAESaHaXB6srjJ2IwHBNsA%3D%3D,LinkedIn
"********** ** ******* (*******, *****)",****,"*******, ******* ******, *****",2025-10-28,https://ke.linkedin.com/jobs/view/operations-bi-analyst-nairobi-kenya-at-eidu-4318497144?position=6&pageNum=0&refId=VymQsShSbsIvRQH30Vmo7Q%3D%3D&trackingId=bRPpB%2B%2Fq%2B2ZCqNkQZQDhPg%3D%3D,LinkedIn
**** ******* - ****** ***********,*-****,"*******, ******* ******, *****",2025-11-26,https://ke.linkedin.com/jobs/view/data-analyst-credit-eligibility-at-m-kopa-4339210741?position=7&pageNum=0&refId=VymQsShSbsIvRQH30Vmo7Q%3D%3D&trackingId=u4LNWXsl9vdYl9EYUSiJ6w%3D%3D,LinkedIn
Business Analyst,OBSS,"Nairobi County, Kenya",2025-12-22,https://ke.linkedin.com/jobs/view/business-analyst-at-obss-4345664729?position=1&pageNum=0&refId=o%2BahTJeFN4wAH4yV%2FQVXXw%3D%3D&trackingId=q5k5%2F%2Bt%2BsLrFEweJ2t2hIA%3D%3D,LinkedIn
Business Analyst,Tatu City,"Tatu City, Kiambu, Kenya",2025-09-22,https://ke.linkedin.com/jobs/view/business-analyst-at-tatu-city-4303973842?position=2&pageNum=0&refId=o%2BahTJeFN4wAH4yV%2FQVXXw%3D%3D&trackingId=3tOrlLMWCgnmS4sbrK04jQ%3D%3D,LinkedIn
Business Analyst,Phoenix Heights,"Mombasa, Mombasa County, Kenya",2025-12-06,https://ke.linkedin.com/jobs/view/business-analyst-at-phoenix-heights-4326767164?position=3&pageNum=0&refId=o%2BahTJeFN4wAH4yV%2FQVXXw%3D%3D&trackingId=vPMD7bRaPkGPxizMUt37pQ%3D%3D,LinkedIn
********* ******* – ******* *** *********,*** ********* *******,"*******, ******* ******, *****",2025-11-07,https://ke.linkedin.com/jobs/view/actuarial-analyst-%E2%80%93-systems-and-reporting-at-cic-insurance-company-4338034949?position=4&pageNum=0&refId=o%2BahTJeFN4wAH4yV%2FQVXXw%3D%3D&trackingId=I4ebKUsZNwCr0%2FYtEW%2BGkw%3D%3D,LinkedIn
****** ********* *******,********,*****,2025-07-29,https://ke.linkedin.com/jobs/view/senior-marketing-analyst-at-renmoney-4288423357?position=5&pageNum=0&refId=o%2BahTJeFN4wAH4yV%2FQVXXw%3D%3D&trackingId=2UTIP2pbOHtWULQEdY1%2FxQ%3D%3D,LinkedIn
********* ******** ******* - ****,** *** *****,"******/ ***** *********, ***** ******, *****",2025-12-18,https://ke.linkedin.com/jobs/view/technical-business-analyst-1841-at-in-all-media-4344868535?position=6&pageNum=0&refId=o%2BahTJeFN4wAH4yV%2FQVXXw%3D%3D&trackingId=%2FRvh1fQlmwQkpZ0eVQ7QuA%3D%3D,LinkedIn
"********** ** ******* (*******, *****)",****,"*******, ******* ******, *****",2025-10-28,https://ke.linkedin.com/jobs/view/operations-bi-analyst-nairobi-kenya-at-eidu-4318497144?position=7&pageNum=0&refId=o%2BahTJeFN4wAH4yV%2FQVXXw%3D%3D&trackingId=gKELERvqcXVON%2F6JgXISIw%3D%3D,LinkedIn
Global Data Science & Analytics Manager,Pages Humanitaires,Kenya,2025-11-17,https://ke.linkedin.com/jobs/view/global-data-science-analytics-manager-at-pages-humanitaires-4322797107?position=1&pageNum=0&refId=2Scm64WhChBHuAhpacQbGA%3D%3D&trackingId=Gx%2FMgMGz3JnGBs%2FLaNF8tg%3D%3D,LinkedIn
Engineering Manager - Data Platform,Canonical,"Nairobi, Nairobi County, Kenya",2025-12-24,https://ke.linkedin.com/jobs/view/engineering-manager-data-platform-at-canonical-4346162424?position=2&pageNum=0&refId=2Scm64WhChBHuAhpacQbGA%3D%3D&trackingId=V8%2BHpwpFlR1hBH90d%2BFXdw%3D%3D,LinkedIn
